Input_Len,Pred_Len,Rate,Model,Loss,Active_Features_Count,Active_Features
100,300,10,Fusion,TailW1,1,031|era5_pressure_merged_30hPa_filtered_normalized|u
100,300,10,Fusion,FadeDist,1,237|era5_surface_merged_all_filter_normalized|mn2t
100,300,10,Fusion,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,300,10,Fusion,W1,1,022|era5_pressure_merged_5hPa_filtered_normalized|vo
100,300,10,Fusion,W2,1,017|era5_pressure_merged_5hPa_filtered_normalized|q
100,900,10,Fusion,TailMSE,1,018|era5_pressure_merged_5hPa_filtered_normalized|t
100,900,10,Fusion,FadeTailDist,1,060|era5_pressure_merged_650hPa_filtered_normalized|crwc
100,900,10,Fusion,TailW1,1,027|era5_pressure_merged_30hPa_filtered_normalized|pv
100,900,10,Fusion,FadeDist,1,051|era5_pressure_merged_650hPa_filtered_normalized|d
100,900,10,Fusion,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,900,10,Fusion,W1,1,037|era5_pressure_merged_200hPa_filtered_normalized|cc
100,900,10,Fusion,W2,1,018|era5_pressure_merged_5hPa_filtered_normalized|t
100,1500,10,Fusion,TailMSE,1,018|era5_pressure_merged_5hPa_filtered_normalized|t
100,1500,10,Fusion,FadeTailDist,1,028|era5_pressure_merged_30hPa_filtered_normalized|r
100,1500,10,Fusion,TailW1,1,024|era5_pressure_merged_30hPa_filtered_normalized|d
100,1500,10,Fusion,FadeDist,1,064|era5_pressure_merged_650hPa_filtered_normalized|v
100,1500,10,Fusion,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,1500,10,Fusion,W1,1,019|era5_pressure_merged_5hPa_filtered_normalized|u
100,1500,10,Fusion,W2,1,009|era5_pressure_merged_1hPa_filtered_normalized|w
100,2100,10,Fusion,TailMSE,1,053|era5_pressure_merged_650hPa_filtered_normalized|z
100,2100,10,Fusion,FadeTailDist,1,001|era5_pressure_merged_1hPa_filtered_normalized|z
100,2100,10,Fusion,TailW1,1,022|era5_pressure_merged_5hPa_filtered_normalized|vo
100,2100,10,Fusion,FadeDist,1,010|era5_pressure_merged_1hPa_filtered_normalized|vo
100,2100,10,Fusion,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,2100,10,Fusion,W1,1,007|era5_pressure_merged_1hPa_filtered_normalized|u
100,2100,10,Fusion,W2,1,008|era5_pressure_merged_1hPa_filtered_normalized|v
100,2700,10,Fusion,TailMSE,1,047|era5_pressure_merged_200hPa_filtered_normalized|v
100,2700,10,Fusion,FadeTailDist,1,018|era5_pressure_merged_5hPa_filtered_normalized|t
100,2700,10,Fusion,TailW1,1,021|era5_pressure_merged_5hPa_filtered_normalized|w
100,2700,10,Fusion,FadeDist,1,032|era5_pressure_merged_30hPa_filtered_normalized|v
100,2700,10,Fusion,W1,1,017|era5_pressure_merged_5hPa_filtered_normalized|q
100,2700,10,Fusion,W2,1,018|era5_pressure_merged_5hPa_filtered_normalized|t
100,2700,10,Fusion,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
